英雄ID	阶级	展示名称	主动技能ID	被动技能1ID	被动技能2ID	被动技能3ID	被动技能4ID	被动技能5ID	被动技能6ID	被动技能7ID	被动技能8ID	被动技能9ID	空行
13	1	军师	200045										
13	2	真•军师	200045	1000071									
13	3	鬼•军师	201045	1000071									
13	4	神•军师	201045	1000071	1000079								
13	5	圣•军师	202045	1000071	1000079								
13	6	王•军师	202045	1000071	1000079	1000055							
13	7	皇•军师	203045	1000071	1000079	1000055							
14	1	典军校尉	100056										
14	2	真•典军校尉	100056	1000071									
14	3	鬼•典军校尉	101056	1000071									
14	4	神•典军校尉	101056	1000071	1000078								
14	5	圣•典军校尉	102056	1000071	1000078								
14	6	王•典军校尉	102056	1000071	1000078	1000053							
14	7	皇•典军校尉	103056	1000071	1000078	1000053							
15	1	射声校尉	100056										
15	2	真•射声校尉	100056	1000071									
15	3	鬼•射声校尉	101056	1000071									
15	4	神•射声校尉	101056	1000071	1000078								
15	5	圣•射声校尉	102056	1000071	1000078								
15	6	王•射声校尉	102056	1000071	1000078	1000053							
15	7	皇•射声校尉	103056	1000071	1000078	1000053							
16	1	龙威骑	100046										
16	2	真•龙威骑	100046	1000071									
16	3	鬼•龙威骑	101046	1000071									
16	4	神•龙威骑	101046	1000071	1000078								
16	5	圣•龙威骑	102046	1000071	1000078								
16	6	王•龙威骑	102046	1000071	1000078	1000053							
16	7	皇•龙威骑	103046	1000071	1000078	1000053							
17	1	铁娘子	100062										
17	2	真•铁娘子	100062	1000071									
17	3	鬼•铁娘子	101062	1000071									
17	4	神•铁娘子	101062	1000071	1000078								
17	5	圣•铁娘子	102062	1000071	1000078								
17	6	王•铁娘子	102062	1000071	1000078	1000053							
17	7	皇•铁娘子	103062	1000071	1000078	1000053							
18	1	剑豪	100051										
18	2	真•剑豪	100051	1000071									
18	3	鬼•剑豪	101051	1000071									
18	4	神•剑豪	101051	1000071	1000078								
18	5	圣•剑豪	102051	1000071	1000078								
18	6	王•剑豪	102051	1000071	1000078	1000053							
18	7	皇•剑豪	103051	1000071	1000078	1000053							
19	1	平儿	100048										
19	2	真•平儿	100048	1000071									
19	3	鬼•平儿	101048	1000071									
19	4	神•平儿	101048	1000071	1000078								
19	5	圣•平儿	102048	1000071	1000078								
19	6	王•平儿	102048	1000071	1000078	1000053							
19	7	皇•平儿	103048	1000071	1000078	1000053							
20	1	罗刹女	200,092,210,092										
20	2	真•罗刹女	200,092,210,092	1000071									
20	3	鬼•罗刹女	201,092,211,092	1000071									
20	4	神•罗刹女	201,092,211,092	1000071	1000079								
20	5	圣•罗刹女	202,092,212,092	1000071	1000079								
20	6	王•罗刹女	202,092,212,092	1000071	1000079	1000055							
20	7	皇•罗刹女	203,092,213,092	1000071	1000079	1000055							
21	1	领军教头	100046										
21	2	真•领军教头	100046	1000071									
21	3	鬼•领军教头	101046	1000071									
21	4	神•领军教头	101046	1000071	1000078								
21	5	圣•领军教头	102046	1000071	1000078								
21	6	王•领军教头	102046	1000071	1000078	1000053							
21	7	皇•领军教头	103046	1000071	1000078	1000053							
22	1	禁军教头	100051										
22	2	真•禁军教头	100051	1000071									
22	3	鬼•禁军教头	101051	1000071									
22	4	神•禁军教头	101051	1000071	1000078								
22	5	圣•禁军教头	102051	1000071	1000078								
22	6	王•禁军教头	102051	1000071	1000078	1000053							
22	7	皇•禁军教头	103051	1000071	1000078	1000053							
23	1	金都尉	100062										
23	2	真•金都尉	100062	1000071									
23	3	鬼•金都尉	101062	1000071									
23	4	神•金都尉	101062	1000071	1000078								
23	5	圣•金都尉	102062	1000071	1000078								
23	6	王•金都尉	102062	1000071	1000078	1000053							
23	7	皇•金都尉	103062	1000071	1000078	1000053							
24	1	中书丞	200059										
24	2	真•中书丞	200059	1000071									
24	3	鬼•中书丞	201059	1000071									
24	4	神•中书丞	201059	1000071	1000079								
24	5	圣•中书丞	202059	1000071	1000079								
24	6	王•中书丞	202059	1000071	1000079	1000055							
24	7	皇•中书丞	203059	1000071	1000079	1000055							
25	1	县尉	200,092,210,092										
25	2	真•县尉	200,092,210,092	1000071									
25	3	鬼•县尉	201,092,211,092	1000071									
25	4	神•县尉	201,092,211,092	1000071	1000079								
25	5	圣•县尉	202,092,212,092	1000071	1000079								
25	6	王•县尉	202,092,212,092	1000071	1000079	1000055							
25	7	皇•县尉	203,092,213,092	1000071	1000079	1000055							
26	1	神术士	200068										
26	2	真•神术士	200068	1000071									
26	3	鬼•神术士	201068	1000071									
26	4	神•神术士	201068	1000071	1000079								
26	5	圣•神术士	202068	1000071	1000079								
26	6	王•神术士	202068	1000071	1000079	1000055							
26	7	皇•神术士	203068	1000071	1000079	1000055							
27	1	鬼道士	200045										
27	2	真•鬼道士	200045	1000071									
27	3	鬼•鬼道士	201045	1000071									
27	4	神•鬼道士	201045	1000071	1000079								
27	5	圣•鬼道士	202045	1000071	1000079								
27	6	王•鬼道士	202045	1000071	1000079	1000055							
27	7	皇•鬼道士	203045	1000071	1000079	1000055							
28	1	圣道士	200068										
28	2	真•圣道士	200068	1000071									
28	3	鬼•圣道士	201068	1000071									
28	4	神•圣道士	201068	1000071	1000079								
28	5	圣•圣道士	202068	1000071	1000079								
28	6	王•圣道士	202068	1000071	1000079	1000055							
28	7	皇•圣道士	203068	1000071	1000079	1000055							
29	1	嫔妃	300071										
29	2	真•嫔妃	300071	1000071									
29	3	鬼•嫔妃	301071	1000071									
29	4	神•嫔妃	301071	1000071	1000079								
29	5	圣•嫔妃	302071	1000071	1000079								
29	6	王•嫔妃	302071	1000071	1000079	1000055							
29	7	皇•嫔妃	303071	1000071	1000079	1000055							
30	1	宠妾	300071										
30	2	真•宠妾	300071	1000071									
30	3	鬼•宠妾	301071	1000071									
30	4	神•宠妾	301071	1000071	1000079								
30	5	圣•宠妾	302071	1000071	1000079								
30	6	王•宠妾	302071	1000071	1000079	1000055							
30	7	皇•宠妾	303071	1000071	1000079	1000055							
31	1	医师	400091										
31	2	真•医师	400091	1000073									
31	3	鬼•医师	401091	1000073									
31	4	神•医师	401091	1000073	1000077								
31	5	圣•医师	402091	1000073	1000077								
31	6	王•医师	402091	1000073	1000077	1000055							
31	7	皇•医师	403091	1000073	1000077	1000055							
32	1	皇甫嵩	100048										
32	2	真•皇甫嵩	100048	1000071									
32	3	鬼•皇甫嵩	101048	1000071									
32	4	神•皇甫嵩	101048	1000071	1000078								
32	5	圣•皇甫嵩	102048	1000071	1000078								
32	6	王•皇甫嵩	102048	1000071	1000078	1000053							
32	7	皇•皇甫嵩	103048	1000071	1000078	1000053							
33	1	刘璋	200059										
33	2	真•刘璋	200059	1000071									
33	3	鬼•刘璋	201059	1000071									
33	4	神•刘璋	201059	1000071	1000079								
33	5	圣•刘璋	202059	1000071	1000079								
33	6	王•刘璋	202059	1000071	1000079	1000055							
33	7	皇•刘璋	203059	1000071	1000079	1000055							
34	1	张绣	100048										
34	2	真•张绣	100048	1000071									
34	3	鬼•张绣	101048	1000071									
34	4	神•张绣	101048	1000071	1000078								
34	5	圣•张绣	102048	1000071	1000078								
34	6	王•张绣	102048	1000071	1000078	1000053							
34	7	皇•张绣	103048	1000071	1000078	1000053							
35	1	曹节	200045										
35	2	真•曹节	200045	1000071									
35	3	鬼•曹节	201045	1000071									
35	4	神•曹节	201045	1000071	1000079								
35	5	圣•曹节	202045	1000071	1000079								
35	6	王•曹节	202045	1000071	1000079	1000055							
35	7	皇•曹节	203045	1000071	1000079	1000055							
36	1	程普	100048										
36	2	真•程普	100048	1000071									
36	3	鬼•程普	101048	1000071									
36	4	神•程普	101048	1000071	1000078								
36	5	圣•程普	102048	1000071	1000078								
36	6	王•程普	102048	1000071	1000078	1000053							
36	7	皇•程普	103048	1000071	1000078	1000053							
37	1	孙鲁班	400111										
37	2	真•孙鲁班	400111	1000073									
37	3	鬼•孙鲁班	401111	1000073									
37	4	神•孙鲁班	401111	1000073	1000077								
37	5	圣•孙鲁班	402111	1000073	1000077								
37	6	王•孙鲁班	402111	1000073	1000077	1000055							
37	7	皇•孙鲁班	403111	1000073	1000077	1000055							
38	1	朱然	100051										
38	2	真•朱然	100051	1000071									
38	3	鬼•朱然	101051	1000071									
38	4	神•朱然	101051	1000071	1000078								
38	5	圣•朱然	102051	1000071	1000078								
38	6	王•朱然	102051	1000071	1000078	1000053							
38	7	皇•朱然	103051	1000071	1000078	1000053							
39	1	凌操	100062										
39	2	真•凌操	100062	1000071									
39	3	鬼•凌操	101062	1000071									
39	4	神•凌操	101062	1000071	1000078								
39	5	圣•凌操	102062	1000071	1000078								
39	6	王•凌操	102062	1000071	1000078	1000053							
39	7	皇•凌操	103062	1000071	1000078	1000053							
40	1	关平	100,040,110,040										
40	2	真•关平	100,040,110,040	1000071									
40	3	鬼•关平	101,040,111,040	1000071									
40	4	神•关平	101,040,111,040	1000071	1000078								
40	5	圣•关平	102,040,112,040	1000071	1000078								
40	6	王•关平	102,040,112,040	1000071	1000078	1000053							
40	7	皇•关平	103,040,113,040	1000071	1000078	1000053							
41	1	魏延	100041										
41	2	真•魏延	100041	1000071									
41	3	鬼•魏延	101041	1000071									
41	4	神•魏延	101041	1000071	1000078								
41	5	圣•魏延	102041	1000071	1000078								
41	6	王•魏延	102041	1000071	1000078	1000053							
41	7	皇•魏延	103041	1000071	1000078	1000053							
42	1	张苞	100,042,110,042										
42	2	真•张苞	100,042,110,042	1000071									
42	3	鬼•张苞	101,042,111,042	1000071									
42	4	神•张苞	101,042,111,042	1000071	1000078								
42	5	圣•张苞	102,042,112,042	1000071	1000078								
42	6	王•张苞	102,042,112,042	1000071	1000078	1000053							
42	7	皇•张苞	103,042,113,042	1000071	1000078	1000053							
43	1	法正	300043										
43	2	真•法正	300043	1000071									
43	3	鬼•法正	301043	1000071									
43	4	神•法正	301043	1000071	1000079								
43	5	圣•法正	302043	1000071	1000079								
43	6	王•法正	302043	1000071	1000079	1000055							
43	7	皇•法正	303043	1000071	1000079	1000055							
44	1	关兴	100044										
44	2	真•关兴	100044	1000071									
44	3	鬼•关兴	101044	1000071									
44	4	神•关兴	101044	1000071	1000078								
44	5	圣•关兴	102044	1000071	1000078								
44	6	王•关兴	102044	1000071	1000078	1000053							
44	7	皇•关兴	103044	1000071	1000078	1000053							
45	1	鲍三娘	200045										
45	2	真•鲍三娘	200045	1000071									
45	3	鬼•鲍三娘	201045	1000071									
45	4	神•鲍三娘	201045	1000071	1000079								
45	5	圣•鲍三娘	202045	1000071	1000079								
45	6	王•鲍三娘	202045	1000071	1000079	1000055							
45	7	皇•鲍三娘	203045	1000071	1000079	1000055							
46	1	周仓	100046										
46	2	真•周仓	100046	1000071									
46	3	鬼•周仓	101046	1000071									
46	4	神•周仓	101046	1000071	1000078								
46	5	圣•周仓	102046	1000071	1000078								
46	6	王•周仓	102046	1000071	1000078	1000053							
46	7	皇•周仓	103046	1000071	1000078	1000053							
47	1	关索	100047										
47	2	真•关索	100047	1000071									
47	3	鬼•关索	101047	1000071									
47	4	神•关索	101047	1000071	1000078								
47	5	圣•关索	102047	1000071	1000078								
47	6	王•关索	102047	1000071	1000078	1000053							
47	7	皇•关索	103047	1000071	1000078	1000053							
48	1	夏侯霸	100048										
48	2	真•夏侯霸	100048	1000071									
48	3	鬼•夏侯霸	101048	1000071									
48	4	神•夏侯霸	101048	1000071	1000078								
48	5	圣•夏侯霸	102048	1000071	1000078								
48	6	王•夏侯霸	102048	1000071	1000078	1000053							
48	7	皇•夏侯霸	103048	1000071	1000078	1000053							
49	1	严颜	100049										
49	2	真•严颜	100049	1000071									
49	3	鬼•严颜	101049	1000071									
49	4	神•严颜	101049	1000071	1000078								
49	5	圣•严颜	102049	1000071	1000078								
49	6	王•严颜	102049	1000071	1000078	1000053							
49	7	皇•严颜	103049	1000071	1000078	1000053							
50	1	孟获	100050										
50	2	真•孟获	100050	1000071									
50	3	鬼•孟获	101050	1000071									
50	4	神•孟获	101050	1000071	1000078								
50	5	圣•孟获	102050	1000071	1000078								
50	6	王•孟获	102050	1000071	1000078	1000053							
50	7	皇•孟获	103050	1000071	1000078	1000053							
51	1	袁绍	100051										
51	2	真•袁绍	100051	1000071									
51	3	鬼•袁绍	101051	1000071									
51	4	神•袁绍	101051	1000071	1000078								
51	5	圣•袁绍	102051	1000071	1000078								
51	6	王•袁绍	102051	1000071	1000078	1000053							
51	7	皇•袁绍	103051	1000071	1000078	1000053							
52	1	华雄	100052										
52	2	真•华雄	100052	1000071									
52	3	鬼•华雄	101052	1000071									
52	4	神•华雄	101052	1000071	1000078								
52	5	圣•华雄	102052	1000071	1000078								
52	6	王•华雄	102052	1000071	1000078	1000053							
52	7	皇•华雄	103052	1000071	1000078	1000053							
53	1	颜良	100053										
53	2	真•颜良	100053	1000071									
53	3	鬼•颜良	101053	1000071									
53	4	神•颜良	101053	1000071	1000078								
53	5	圣•颜良	102053	1000071	1000078								
53	6	王•颜良	102053	1000071	1000078	1000053							
53	7	皇•颜良	103053	1000071	1000078	1000053							
54	1	文丑	100054										
54	2	真•文丑	100054	1000071									
54	3	鬼•文丑	101054	1000071									
54	4	神•文丑	101054	1000071	1000078								
54	5	圣•文丑	102054	1000071	1000078								
54	6	王•文丑	102054	1000071	1000078	1000053							
54	7	皇•文丑	103054	1000071	1000078	1000053							
55	1	陈宫	300055										
55	2	真•陈宫	300055	1000071									
55	3	鬼•陈宫	301055	1000071									
55	4	神•陈宫	301055	1000071	1000079								
55	5	圣•陈宫	302055	1000071	1000079								
55	6	王•陈宫	302055	1000071	1000079	1000055							
55	7	皇•陈宫	303055	1000071	1000079	1000055							
56	1	公孙瓒	100056										
56	2	真•公孙瓒	100056	1000071									
56	3	鬼•公孙瓒	101056	1000071									
56	4	神•公孙瓒	101056	1000071	1000078								
56	5	圣•公孙瓒	102056	1000071	1000078								
56	6	王•公孙瓒	102056	1000071	1000078	1000053							
56	7	皇•公孙瓒	103056	1000071	1000078	1000053							
57	1	高顺	100057										
57	2	真•高顺	100057	1000071									
57	3	鬼•高顺	101057	1000071									
57	4	神•高顺	101057	1000071	1000078								
57	5	圣•高顺	102057	1000071	1000078								
57	6	王•高顺	102057	1000071	1000078	1000053							
57	7	皇•高顺	103057	1000071	1000078	1000053							
58	1	李儒	300058										
58	2	真•李儒	300058	1000071									
58	3	鬼•李儒	301058	1000071									
58	4	神•李儒	301058	1000071	1000079								
58	5	圣•李儒	302058	1000071	1000079								
58	6	王•李儒	302058	1000071	1000079	1000055							
58	7	皇•李儒	303058	1000071	1000079	1000055							
59	1	张任	200059										
59	2	真•张任	200059	1000071									
59	3	鬼•张任	201059	1000071									
59	4	神•张任	201059	1000071	1000079								
59	5	圣•张任	202059	1000071	1000079								
59	6	王•张任	202059	1000071	1000079	1000055							
59	7	皇•张任	203059	1000071	1000079	1000055							
60	1	典韦	100,060,110,060										
60	2	真•典韦	100,060,110,060	1000071									
60	3	鬼•典韦	101,060,111,060	1000071									
60	4	神•典韦	101,060,111,060	1000071	1000078								
60	5	圣•典韦	102,060,112,060	1000071	1000078								
60	6	王•典韦	102,060,112,060	1000071	1000078	1000053							
60	7	皇•典韦	103,060,113,060	1000071	1000078	1000053							
61	1	许褚	100061										
61	2	真•许褚	100061	1000071									
61	3	鬼•许褚	101061	1000071									
61	4	神•许褚	101061	1000071	1000078								
61	5	圣•许褚	102061	1000071	1000078								
61	6	王•许褚	102061	1000071	1000078	1000053							
61	7	皇•许褚	103061	1000071	1000078	1000053							
62	1	曹彰	100062										
62	2	真•曹彰	100062	1000071									
62	3	鬼•曹彰	101062	1000071									
62	4	神•曹彰	101062	1000071	1000078								
62	5	圣•曹彰	102062	1000071	1000078								
62	6	王•曹彰	102062	1000071	1000078	1000053							
62	7	皇•曹彰	103062	1000071	1000078	1000053							
63	1	庞德	100063										
63	2	真•庞德	100063	1000071									
63	3	鬼•庞德	101063	1000071									
63	4	神•庞德	101063	1000071	1000078								
63	5	圣•庞德	102063	1000071	1000078								
63	6	王•庞德	102063	1000071	1000078	1000053							
63	7	皇•庞德	103063	1000071	1000078	1000053							
64	1	张郃	100064										
64	2	真•张郃	100064	1000071									
64	3	鬼•张郃	101064	1000071									
64	4	神•张郃	101064	1000071	1000078								
64	5	圣•张郃	102064	1000071	1000078								
64	6	王•张郃	102064	1000071	1000078	1000053							
64	7	皇•张郃	103064	1000071	1000078	1000053							
65	1	徐晃	100065										
65	2	真•徐晃	100065	1000071									
65	3	鬼•徐晃	101065	1000071									
65	4	神•徐晃	101065	1000071	1000078								
65	5	圣•徐晃	102065	1000071	1000078								
65	6	王•徐晃	102065	1000071	1000078	1000053							
65	7	皇•徐晃	103065	1000071	1000078	1000053							
66	1	于禁	100066										
66	2	真•于禁	100066	1000071									
66	3	鬼•于禁	101066	1000071									
66	4	神•于禁	101066	1000071	1000078								
66	5	圣•于禁	102066	1000071	1000078								
66	6	王•于禁	102066	1000071	1000078	1000053							
66	7	皇•于禁	103066	1000071	1000078	1000053							
67	1	周泰	100,067,110,067										
67	2	真•周泰	100,067,110,067	1000071									
67	3	鬼•周泰	101,067,111,067	1000071									
67	4	神•周泰	101,067,111,067	1000071	1000078								
67	5	圣•周泰	102,067,112,067	1000071	1000078								
67	6	王•周泰	102,067,112,067	1000071	1000078	1000053							
67	7	皇•周泰	103,067,113,067	1000071	1000078	1000053							
68	1	凌统	200068										
68	2	真•凌统	200068	1000071									
68	3	鬼•凌统	201068	1000071									
68	4	神•凌统	201068	1000071	1000079								
68	5	圣•凌统	202068	1000071	1000079								
68	6	王•凌统	202068	1000071	1000079	1000055							
68	7	皇•凌统	203068	1000071	1000079	1000055							
69	1	黄盖	100069										
69	2	真•黄盖	100069	1000071									
69	3	鬼•黄盖	101069	1000071									
69	4	神•黄盖	101069	1000071	1000078								
69	5	圣•黄盖	102069	1000071	1000078								
69	6	王•黄盖	102069	1000071	1000078	1000053							
69	7	皇•黄盖	103069	1000071	1000078	1000053							
70	1	鲁肃	300070										
70	2	真•鲁肃	300070	1000071									
70	3	鬼•鲁肃	301070	1000071									
70	4	神•鲁肃	301070	1000071	1000079								
70	5	圣•鲁肃	302070	1000071	1000079								
70	6	王•鲁肃	302070	1000071	1000079	1000055							
70	7	皇•鲁肃	303070	1000071	1000079	1000055							
71	1	虞翻	300071										
71	2	真•虞翻	300071	1000071									
71	3	鬼•虞翻	301071	1000071									
71	4	神•虞翻	301071	1000071	1000079								
71	5	圣•虞翻	302071	1000071	1000079								
71	6	王•虞翻	302071	1000071	1000079	1000055							
71	7	皇•虞翻	303071	1000071	1000079	1000055							
72	1	诸葛瑾	200072										
72	2	真•诸葛瑾	200072	1000071									
72	3	鬼•诸葛瑾	201072	1000071									
72	4	神•诸葛瑾	201072	1000071	1000079								
72	5	圣•诸葛瑾	202072	1000071	1000079								
72	6	王•诸葛瑾	202072	1000071	1000079	1000055							
72	7	皇•诸葛瑾	203072	1000071	1000079	1000055							
73	1	潘璋	100073										
73	2	真•潘璋	100073	1000071									
73	3	鬼•潘璋	101073	1000071									
73	4	神•潘璋	101073	1000071	1000078								
73	5	圣•潘璋	102073	1000071	1000078								
73	6	王•潘璋	102073	1000071	1000078	1000053							
73	7	皇•潘璋	103073	1000071	1000078	1000053							
74	1	刘备	100,074,110,074,120,000										
74	2	真•刘备	100,074,110,074,120,000	1000071									
74	3	鬼•刘备	101,074,111,074,121,000	1000071	1000045								
74	4	神•刘备	101,074,111,074,121,000	1000071	1000045	1000103							
74	5	圣•刘备	102,074,112,074,122,000	1000071	1000045	1000103	1000104						
74	6	王•刘备	102,074,112,074,122,000	1000071	1000045	1000103	1000104	1000015					
74	7	皇•刘备	103,074,113,074,123,000	1000071	1000045	1000103	1000104	1000015	1000024				
75	1	关羽	100,075,110,075										
75	2	真•关羽	100,075,110,075	1000072									
75	3	鬼•关羽	101,075,111,075	1000072	1000046								
75	4	神•关羽	101,075,111,075	1000072	1000046	1000078							
75	5	圣•关羽	102,075,112,075	1000072	1000046	1000078	1000054						
75	6	王•关羽	102,075,112,075	1000072	1000046	1000078	1000054	1000025					
75	7	皇•关羽	103,075,113,075	1000072	1000046	1000078	1000054	1000025	1000034				
76	1	张飞	100,076,110,076										
76	2	真•张飞	100,076,110,076	1000067									
76	3	鬼•张飞	101,076,111,076	1000067	1000046								
76	4	神•张飞	101,076,111,076	1000067	1000046	1000070							
76	5	圣•张飞	102,076,112,076	1000067	1000046	1000070	1000054						
76	6	王•张飞	102,076,112,076	1000067	1000046	1000070	1000054	1000105					
76	7	皇•张飞	103,076,113,076	1000067	1000046	1000070	1000054	1000105	1000107				
77	1	马超	100077										
77	2	真•马超	100077	1000074									
77	3	鬼•马超	101077	1000074	1000046								
77	4	神•马超	101077	1000074	1000046	1000080							
77	5	圣•马超	102077	1000074	1000046	1000080	1000017						
77	6	王•马超	102077	1000074	1000046	1000080	1000017	1000001					
77	7	皇•马超	103077	1000074	1000046	1000080	1000017	1000001	1000024				
78	1	赵云	100,078,110,078										
78	2	真•赵云	100,078,110,078	1000067									
78	3	鬼•赵云	101,078,111,078	1000067	1000081								
78	4	神•赵云	101,078,111,078	1000067	1000081	1000078							
78	5	圣•赵云	102,078,112,078	1000067	1000081	1000078	1000014						
78	6	王•赵云	102,078,112,078	1000067	1000081	1000078	1000014	1000001					
78	7	皇•赵云	103,078,113,078	1000067	1000081	1000078	1000014	1000001	1000100				
79	1	诸葛亮	300,079,310,079										
79	2	真•诸葛亮	300,079,310,079	1000074									
79	3	鬼•诸葛亮	301,079,311,079	1000074	1000045								
79	4	神•诸葛亮	301,079,311,079	1000074	1000045	1000070							
79	5	圣•诸葛亮	302,079,312,079	1000074	1000045	1000070	1000065						
79	6	王•诸葛亮	302,079,312,079	1000074	1000045	1000070	1000065	1000022					
79	7	皇•诸葛亮	303,079,313,079	1000074	1000045	1000070	1000065	1000022	1000031				
80	1	孙尚香	300080										
80	2	真•孙尚香	300080	1000071									
80	3	鬼•孙尚香	301080	1000071	1000047								
80	4	神•孙尚香	301080	1000071	1000047	1000079							
80	5	圣•孙尚香	302080	1000071	1000047	1000079	1000055						
80	6	王•孙尚香	302080	1000071	1000047	1000079	1000055	1000106					
80	7	皇•孙尚香	303080	1000071	1000047	1000079	1000055	1000106	1000037				
81	1	姜维	200081										
81	2	真•姜维	200081	1000072									
81	3	鬼•姜维	201081	1000072	1000068								
81	4	神•姜维	201081	1000072	1000068	1000008							
81	5	圣•姜维	202081	1000072	1000068	1000008	1000054						
81	6	王•姜维	202081	1000072	1000068	1000008	1000054	1000002					
81	7	皇•姜维	203081	1000072	1000068	1000008	1000054	1000002	1000032				
82	1	诸葛果	200,082,210,082										
82	2	真•诸葛果	200,082,210,082	1000074									
82	3	鬼•诸葛果	201,082,211,082	1000074	1000045								
82	4	神•诸葛果	201,082,211,082	1000074	1000045	1000070							
82	5	圣•诸葛果	202,082,212,082	1000074	1000045	1000070	1000056						
82	6	王•诸葛果	202,082,212,082	1000074	1000045	1000070	1000056	1000022					
82	7	皇•诸葛果	203,082,213,082	1000074	1000045	1000070	1000056	1000022	1000031				
83	1	庞统	200083										
83	2	真•庞统	200083	1000073									
83	3	鬼•庞统	201083	1000073	1000047								
83	4	神•庞统	201083	1000073	1000047	1000077							
83	5	圣•庞统	202083	1000073	1000047	1000077	1000097						
83	6	王•庞统	202083	1000073	1000047	1000077	1000097	1000002					
83	7	皇•庞统	203083	1000073	1000047	1000077	1000097	1000002	1000093				
84	1	黄忠	100084										
84	2	真•黄忠	100084	1000071									
84	3	鬼•黄忠	101084	1000071	1000048								
84	4	神•黄忠	101084	1000071	1000048	1000078							
84	5	圣•黄忠	102084	1000071	1000048	1000078	1000054						
84	6	王•黄忠	102084	1000071	1000048	1000078	1000054	1000001					
84	7	皇•黄忠	103084	1000071	1000048	1000078	1000054	1000001	1000064				
85	1	董卓	100,085,110,085,120,000										
85	2	真•董卓	100,085,110,085,120,000	1000071									
85	3	鬼•董卓	101,085,111,085,121,000	1000071	1000045								
