id	名字	描述	生命	攻击	法术	法防	技能范围	技能基准点	阵营选择	值条件(条件)	百分比条件(条件)	几率(条件)	值(条件)	百分比(条件)	延迟时间	间隔时间	总时间	效果选择	作用属性	效果状态	百分比	基础伤害	技能伤害类型	延时类型	触发时机	比例(触发)	技能片特效	效果描述	技能声效	参数1	参数2	参数3	参数4	空行
1000065	雷霆万钧	自己生命低于50%时，对所有敌人造成一次100%法术伤害的雷击					4	2	2			1			1			6			1		2		4	0.5	Ani_dian		sound/skilleffect/lei/lei1.wav					
1000066	连斩神技	自己生命低于50%时，对所有敌人造成一次100%基础伤害的斩击					4	2	2			1			1			6			1		1		4	0.5	Ani_Lightning		sound/skilleffect/dao/dao1.wav					
1000067	受击抵消	战场中减免200点最终所受伤害					9	1	1			1			1			3		5		200												
1000068	受击抵抗	战场中减免400点最终所受伤害					9	1	1			1			1			3		5		400												
1000069	受击减免	战场中减免2000点最终所受伤害					9	1	1			1			1			3		5		2000												
1000070	受击低档	战场中减免1200点最终所受伤害					9	1	1			1			1			3		5		1200												
1000071	生命追加	战场中提升自己1000点生命					9	1	1			1			1			1	3			1000												
1000072	攻击追加	战场中提升自己150点攻击					9	1	1			1			1			1	1			150												
1000073	法术追加	战场中提升自己150点法术					9	1	1			1			1			1	4			150												
1000074	法防追加	战场中提升自己300点法防					9	1	1			1			1			1	5			300												
1000075	暴走无双	战场中暴击几率提升10%暴击伤害提升20%					9	1	1			1			1			1	11											0.1	0.2			
1000076	暴击无双	战场中提升自己15%暴击几率					9	1	1			1			1			1	11											0.15				
1000077	生命振幅	战场中提升自己6000点生命					9	1	1			1			1			1	3			6000												
1000078	攻击振幅	战场种提升自己900点攻击					9	1	1			1			1			1	1			900												
1000079	法术振幅	战场中提升自己900点法术					9	1	1			1			1			1	4			900												
1000080	法防振幅	战场中提升自己1800点法术防御					9	1	1			1			1			1	5			1800												
1000081	暴击振幅	战场中提升自己10%暴击几率					9	1	1			1			1			1	11											0.1				
1000082	士兵强化	我方所有士兵攻击和法术提升30%		0.3	0.3		8	2	1			1			1																			
1000083	士兵抵抗	我方所有士兵受到伤害减少15%					8	2	1			1			1			3		6	0.15													
1000084	士兵加强	我方所有士兵攻击和法术提升20%		0.2	0.2		8	2	1			1			1																			
1000085	宁死反扑	自己生命低于15%时，对敌人武力最高的武将发动一次400%基础伤害的斩杀					19	2	2			1			1			6			4		1		4	0.15	Ani_Lightning		sound/skilleffect/dao/dao1.wav					
1000086	无毒不欢	自己生命低于15%时，对敌人武力最高的武将发动一次400%法术伤害的雷击					19	2	2			1			1			6			4		2		4	0.15	Ani_dian		sound/skilleffect/lei/lei1.wav					
1000087	超级法术	战场中每秒回复自己法术数值12%的血量					9	1	1			1			1	60	6000	7			0.12			1										
1000088	雷霆突袭	自己生命低于20%时，对所有敌人造成一次150%法术伤害的雷击					4	2	2			1			1			6			1.5		2		4	0.2	Ani_dian		sound/skilleffect/lei/lei1.wav					
1000089	友军光环	战场中给予友方武将增加12%生命					40	2	1			1			1			1	3		0.12													
1000090	死亡反扑	自己死亡时敌方所有成员受到1次200%攻击伤害的斩杀					4	2	2			1			1			6			2		3		1		Ani_Lightning		sound/skilleffect/dao/dao1.wav					
1000091	超级反扑	自己生命低于30%时，对所有敌人造成一次150%基础伤害斩杀					4	2	2			1			1			6			1.5		1		4	0.3	Ani_Lightning		sound/skilleffect/dao/dao1.wav					
1000092	洛神凛冬	自己生命低于40%时，冰冻所有敌方成员3秒					4	2	2			1			1	180	180	8						1	4	0.4	Ani_ice		sound/skilleffect/bing/bin1.wav					
1000093	法术天赋	战场中提升自己45%法术					9	1	1			1			1			1	4		0.45													
1000094	攻击天赋	战场中提升自己45%攻击					9	1	1			1			1			1	1		0.45													
1000095	生命天赋	战场中提升自己45%生命					9	1	1			1			1			1	3		0.45													
1000096	武力极致	战场中提升100%攻击，持续15秒					9	1	1			1			1	900	900	2	1		1			1										
1000097	友人光环	战场中给予友方武将增加12%法术					40	2	1			1			1			1	4		0.12													
1000098	友方光环	战场中给予友方武将增加12%生命					40	2	1			1			1			1	3		0.12													
1000099	绝对防御	开战后已方所有单位减少20%伤害持续15秒					4	2	1			1			1	900	900	4		6	0.2													
1000100	暴伤强化	战场中暴击伤害提升100%					9	1	1			1			1			1	11												1			
1000101	智力极致	战场中提升100%法术，持续15秒					9	1	1			1			1	900	900	2	4		1			1										
1000102	生存之道	攻击敌人将回复攻击数值20%的血量					9	1	1			1			1			3		1	0.2													
1000103	兵强将猛	我方所有士兵生命提升30%	0.3				8	2	1			1			1																			
1000104	攻击增益	战场中给予友方武将增加12%攻击					40	2	2			1			1			1	1		0.12													
1000105	嗜血成性	攻击敌人将回复攻击数值15%的血量					9	1	1			1			1			3		1	0.15													
1000106	法术治疗	战场中每秒回复自己法术数值8%的血量					9	1	1			1			1	60	6000	7			0.08			1										
1000107	背水一战	自己生命低于30%时，自己攻击提升200%持续8秒					9	1	1			1			1	480	480	2	1		2			1	4	0.3								
1000108	士兵免伤	我方所有士兵受到伤害减少10%					8	2	1			1			1			3		6	0.1													
1000109	士兵狂暴	自己生命低于20%时，已方所有士兵提升100%攻击，持续5秒					8	2	1			1			1	300	300	2	1		1			1	4	0.2								
1000110	坚韧士兵	我方所有士兵生命提升30%	0.3				8		1																									
1000111	枯木萌芽	自己生命低于30%时，每秒回复自己70%法术血量，持续5秒					9	1	1			1			1	60	300	7			0.7			1	4	0.3	Ani_greenLight		sound/skilleffect/huixue/huixue.wav					
1000112	生命战歌	战场中提升自己15000点生命					9	1	1			1			1			1	3			15000												
1000113	枯木逢春	自己生命低于10%时，每秒回复自己100%法术血量，持续5秒					9	1	1			1			1	60	300	7			1			1	4	0.1	Ani_greenLight		sound/skilleffect/huixue/huixue.wav					
1000114	法防庇护	战场中给已方所有武将增加30%法术防御					40	2	1			1			1			1	5		0.3													
1000115	伤口愈合	自己生命低于50%时恢复所有友军200%法术数值的血量					4	2	1			1			1			7			2				4	0.5	Ani_greenLight		sound/skilleffect/huixue/huixue.wav					
1000116	超级无敌	友军每死亡1位武将自己所受伤害降低40%					9	1	1			1			1			3		6	0.4				2									
1000117	八卦大阵	战场中已方所有单位减免1200点最终所受伤害					4	2	1			1			1			3		6		1200												
1000118	降敌法术	战场中减少敌人30%法术					4	2	2			1			1			1	4		-0.3													
1000119	降敌攻击	战场中减少敌人30%攻击					4	2	2			1			1			1	1		-0.3													
1000120	坚韧不屈	战场中提升已方武将6000点生命					40	2	1			1			1			1	3			6000												
1000121	洛神降临	战场中提升已方武将20%法术					40	2	1			1			1			1	4		0.2													
1000122	庇护天赋	自己生命低于20%时，减少已方武将所受伤害的60%，持续5秒					40	2	1			1			1	300	300	4		6	0.6			1	4	0.2								
1000123	天下智者	自己生命低于20%时，提升自己200%法术，持续5秒					9	1	1			1			1	300	300	2	4		2			1	4	0.2								
1000124	鬼才秘法	战场中提升已方所有友军30%法术					4	2	1			1			1			1	4		0.3													
1000125	鬼才秘攻	战场中提升已方所有友军30%攻击					4	2	1			1			1			1	1		0.3													
1000126	鬼才灭世	自己死亡时敌方所有成员受到1次300%法术伤害的雷击					4	2	2			1			1			6			3		2		1		Ani_dian		sound/skilleffect/lei/lei1.wav					
1000127	谁能挡我	战场中提升自己50000生命					9	1	1			1			1			1	3			50000												
1000128	复活重生	自己生命低于10%时，回复自己1000%法术血量					9	1	1			1			1			7			10				4	0.1	Ani_greenLight		sound/skilleffect/huixue/huixue.wav					
1000129	仙术大师	战场中减少敌人35%法术防御					4	2	2			1			1			1	5		-0.35													
1000130	仙法疗伤	自己死亡时，每秒回复已方武将70%法术血量，持续7秒					40	2	1			1			1	60	420	7			0.7			1	1		Ani_greenLight		sound/skilleffect/huixue/huixue.wav					
1000131	生存大道	攻击敌人将回复攻击数值35%的血量					9	1	1			1			1			3		1	0.35													
1000132	攻击提高	我方所有士兵攻击提升30%		0.3			8		1																									
1000133	法术提高	我方所有士兵法术提升30%			0.3		8		1																									
1000134	死亡凋零	自己死亡时，敌方所有成员受到自己损失血量80%伤害					4	2	2			1			1			6			0.8		8		1		Ani_dian		sound/skilleffect/lei/lei1.wav					
1000135	祈祷庇护	开战后已方所有单位减少15%伤害持续30秒					4	2	1			1			1	1800	1800	4		6	0.15			1										
1000136	全军回复	自己生命低于20%时恢复所有友军500%法术数值的血量					4	2	1			1			1			7			5				4	0.2	Ani_greenLight		sound/skilleffect/huixue/huixue.wav					
1000137	攻击光环	战场中提升已方武将20%攻击					40	2	1			1			1			1	1		0.2													
1000138	攻击免疫	自己生命低于40%时，自己减少100%攻击伤害，持续6秒					9	1	1			1			1	360	360	4		6	1			1	4	0.4								
1000139	法术吸血	战场中每秒回复自己法术数值15%的血量					9	1	1			1			1	60	6000	7			0.15			1										
1000140	坚韧庇护	自己生命低于50%时，减少50%所受伤害，持续20秒					9	1	1			1			1	1200	1200	4		6	0.5			1	4	0.5								
1000141	无双光环	战场中提升已方所有单位45%攻击					4	2	1			1			1			1	1		0.45													
1000142	天下无双	自己死亡时敌方所有成员受到1次300%攻击伤害的斩杀					4	2	2			1			1			6			3		3		1		Ani_Lightning		sound/skilleffect/dao/dao1.wav					
1000143	仙术庇护	自己生命低于50%时，减少已方所有士兵60%伤害，持续8秒					8	2	1			1			1	480	480	4		6	0.6			1	4	0.5								
1000144	庇护光环	战场中减少已方武将20%攻击伤害					40	2	1			1			1			1	12		0.2													
1000145	用兵之道	战场中提升已方所有友军60%法术防御					4	2	1			1			1			1	5		0.6													
1000146	士兵狂化	自己生命低于20%时，已方所有士兵提升150%攻击，持续5秒					8	2	1			1			1	300	300	2	1		1.5			1	4	0.2								
