序号	时机	人物1	位置1	对白1	人物2	位置2	对白2	人物3	位置3	对白3	人物4	位置4	对白4	人物5	位置5	对白5	人物6	位置6	对白6	人物7	位置7	对白7	空列
10	1	90006	2	程远志：没想到我天公大军，有神功护体，居然也会败在你这样的毛贼手里	-1	1	玩家：大哥，什么年代了，要相信科学...	90002	1	A将：请问主公什么是科学?	-1	1	玩家：科学就是.....算了，马上到涿郡，赶紧去找刘皇叔！										
11	0	-5	2	刘备：书上不是写刘关张桃园三结义之后才搞定天下的么？	-1	1	玩家：对啊，我们这不就是出发去找张飞么？	-5	2	刘备：话说这个张飞这会还在老家杀猪吧	-1	1	玩家：这儿去他老家得多远啊，一路上到处都是黄巾军	90002	1	A将：主公，说好的荣华富贵呢？							
12	0	90008	2	高升：来者何人，可知吾乃天公将军张角麾下！	-5	2	刘备：人家还木有打过仗，怕见血...	-1	1	玩家：怕见血？你每个月来大姨妈怎么办？	-5	2	刘备：......										
13	0	90009	2	土匪甲：此山是我开，此树是我栽，要想此路过，留下买路财	-5	2	刘备：艾玛，怎么除了黄巾还有土土土土匪！	-1	1	玩家：黄巾都打过来了，还怕几个区区小土匪？													
14	1	-5	2	刘备：大哥，一路上怎么全是打打杀杀的，人家不想玩啦！	-1	1	玩家：拜托，你是刘备，你才是大哥！三国时代不就是靠打仗挣工资么？	-5	2	刘备：就这么瞎转悠，也没个手机地图，怎么找人啊！	-1	1	玩家：说到手机，我已经有好久都没发过朋友圈了...										
15	0	-5	2	刘备：哎呀，伦家好开心，手机找到了也....	-1	1	玩家：我去，还有电么？	90002	1	A将：主公不好了，前方有大批土匪杀来	-1	1	玩家：部队列阵，准备迎敌	-5	2	刘备：先不要打，让我拍一张嘛！	-1	1	玩家：......				
16	0	90010	2	土匪乙：最近有传言说有股毛贼居然冲破我们大王布下的重重封锁，想不到竟然就是你们。	-5	2	刘备：那当然了，我们人见人爱，花见花开嘛	90015	2	土匪：你以为就凭几句花言巧语我就会让你过去么？	-1	1	玩家：喂....那个什么刘备，光说有什么用，露点事业线嘛！	-5	2	刘备：哎呀人家不好意思的啦	-1	1	玩家：你不在前面色诱，我怎么从后面偷袭啊！真的要被你蠢哭了.				
17	0	90011	2	土匪头目：我家大王早已料到你们会从此地经过，命布下重兵，尔等还不束手就擒	-5	2	刘备：等等，你老说你家大王大王的，到底是谁啊？	90015	2	土匪：我家大王就是威震涿郡十二县的黑风小霸王张飞	-1	1	玩家：什么？张飞？哎呀熟人啊，不用打了，我认识他！	90015	2	土匪：少废话，赶紧纳命来！							
18	1	-1	1	玩家：都说不用打了，你还非要跟我动刀动枪的	90011	2	土匪头目：没想到几位如此年轻却能征善战，实在是佩服	-5	2	刘备：快，告诉我张飞在哪儿，等姑奶奶我日后发达了，给你买块劳力士， 嘻嘻……	90015	2	土匪：列位稍候，我这就带你们去见大王										
19	0	90002	1	A将：主公，洛阳已失，汉帝生死不明，我们该怎么办	-1	1	玩家：没有皇帝谁给我们赏金封侯啊？听我命令，杀往洛阳，先救出皇帝再说	-5	2	刘备：这乱世为了挣点儿钱，也是拼了...													
20	0	90012	2	黄巾精英士兵：天公将军有令，洛阳即日起更名为神都，进出神都者必须皈依我太平道，否则格杀勿论！	-5	2	刘备：亲，不是说好的宗教信仰自由么？	-1	1	玩家：大哥，这是三国...你思维模式能转转不？	90012	2	黄巾精英士兵：废话少说，如有不从，格杀勿论！										
21	0	90012	2	黄巾精英士兵：神都五步一岗十步一营，尔等鼠辈，插翅难飞。	-5	2	刘备：人多有什么用？我家楼下跳广场舞的大妈比你们还多几倍呢！	-1	1	玩家：玄德姐，能不这么逗比行么？现在是打仗，要死人的啊	90012	2	黄巾精英士兵：休要多言，先收下你项上人头再说										
22	1	90012	2	黄巾精英士兵：你们居然使诈，胜了我算什么英雄好汉	-1	1	玩家：我本来就不是什么英雄好汉，好端端的和一帮美女坐个电梯，duang的一下就被拖到这儿来，你以为我想跟你打仗啊？！	-5	2	刘备：就是就是，快说皇帝在哪儿，说了我好赶紧回去看《中国好声音》啊	90012	2	黄巾精英士兵：要杀要剐，悉听尊便，只是你们能说点儿我听的懂的么？										
23	0	90002	1	A将：主公，我们到洛阳这么久，也不见皇帝踪迹，会不会是被黄巾乱党关押在某处了？	-1	1	玩家：此事极有可能，就是掘地三尺，也要把皇帝老儿给我找出来	-5	2	刘备：抓几个黄巾，严刑拷打，捆绑滴蜡小皮鞭，我就不信他不招....嘿嘿	-1	1	玩家：好啊，你这么有种，这帮黄巾军就交给你了哦										
24	0	90002	1	A将：主公，末将抓了几个舌头，他们招供说皇帝已被秘密关押在洛阳的天牢里。	-1	1	玩家：太好了，即刻启程，先救汉帝	42	2	张苞：来者何人，想就这样大摇大摆的从本将军眼皮下走过去么？													
25	0	-1	1	玩家：喂...对面的黄巾小儿听着，赶紧把皇帝给我放了，爷爷我今天心情好，可饶你们不死。要是不放，休怪我刀下无情！	42	2	张苞：大胆狂徒，你当神都天牢是什么地方，能让你说来就来，说走就走么？	-5	2	刘备：亲们，抄家伙，姑奶奶我今天就要潇洒走一回。													
26	1	42	2	张苞：自我随天公将军起事以来，破汉军如砍瓜切菜，历经大小二十一战未败，却未曾想遇上你们这样的对手。	-1	1	玩家：胜败乃兵家常事，将军也算忠义之人，只是何苦要参加黄巾，我这一路上见黄巾大军多有烧杀劫掠的行径，实在不该啊。	42	2	张苞：我追随天公，本想举义救助天下苍生，没想到军中鱼龙混杂，竟然做出不少伤天害理之事，真是一言难尽啊。	-5	2	刘备：这位大哥，我看你也是心善之人，现在就把皇帝放出来吧，也好给天下百姓一个交代	42	2	张苞：唉....							
27	0	-5	2	刘备：好不容易找到了皇帝，结果前有黄巾这只虎，后有董卓这匹狼，这日子还怎么过啊	-1	1	玩家：唉，莫说赏金封侯，便是小命也难保了...	90002	1	A将：主公勿忧，待末将杀出一条血路来，我们就可以撤了。													
28	0	32	2	皇甫嵩：我黄巾三十万大军在此，尔等插翅难飞！	-1	1	玩家：告诉你，别把哥逼急了，哥急了，连哥自己都怕！	32	2	皇甫嵩：那我倒要领教领教！													
29	0	32	2	皇甫嵩：就你们这点儿兵马，也敢与天公将军为敌，真是不自量力！	-1	1	玩家：这厮这么嚣张，我得想办法整整他	-5	2	刘备：亲，我手机还有点电，等下你打他的时候，我就开闪光灯，亮瞎他的狗眼！	-1	1	玩家：此计甚妙，嘻嘻……										
30	1	32	2	皇甫嵩：你，你们居然使妖术胜我！如此卑鄙！	-1	1	玩家：你这山猪，吃不来细糠，我这是闪光灯，哪里是什么妖术！出来混就要愿赌服输	32	2	皇甫嵩：就算你赢了我，后面还有我黄巾数十万大军，看你能得意到几时!													
31	0	32	2	皇甫嵩：哟呵，居然让你们这帮草寇都爬到本将军座前了，也不知道前面几位都是干什么吃的？总之，本将军是不可能让你活着走过去的！	-5	2	刘备：这样吧，我问你个问题，若是你答对，我们便束手就擒，不费你一刀一枪，如何？	32	2	皇甫嵩：这也行，我追随天公将军多年，上知天文下知地理，三教九流无所不通，料你难不倒我！	-5	2	刘备：请问，你想怎么死？	32	2	皇甫嵩：........妖孽，吃俺一刀							
32	1	-1	1	玩家：哇塞，没看出来，你刚才居然屌屌的就把他搞疯掉了耶	-5	2	刘备：我也是想激怒他，然后让你好有机会偷袭一把	-1	1	玩家：你这么没节操，你妈造么， 嘻嘻……													
33	0	90002	1	A将：主公，大事不好，西凉董卓的先头部队已经杀到了!	-1	1	玩家：董卓这个死胖子，难道是想和黄巾军狼狈为奸么？	90002	1	A将：主公对付黄巾即可，董卓反贼就交给末将了	-1	1	玩家：你太给力了，打完这仗，一定要给你涨工资啊										
34	0	85	2	董卓：西凉太守，前将军董卓在此，还不速速交出天子，下马受擒！	-5	2	刘备：亲，这厮还真是个死胖子，和历史书上写的一样。	-1	1	玩家：没看到貂蝉呢？	-5	2	刘备：看到又怎样，不见得比老娘好看到哪儿去！	-1	1	玩家：......董卓听着，天子在我这儿，有本事的，就跟你爷爷我大战三百回合，也好让你减减肥！							
35	1	85	2	董卓：此战暂且让你赢一回合，我还有数万西凉大军在后，势必要尔等交出天子	-1	1	玩家：我们费劲千辛万苦才从黄巾手中救出天子，你说要就要啊？	85	2	董卓：什么？你们也是来救天子的？	-5	2	刘备：亲，他为什么要说也？	-1	1	玩家：历史书上不写董卓是反贼么？难道.....							
36	0	-1	1	玩家：话说穿越过来以后，三观尽毁，董卓居然是靠谱好基友	-5	2	刘备：伦家还不成了刘皇叔啊，只要皇帝赶紧封赏，拿到钱就好	-1	1	玩家：唉，还是先想想怎么收拾这眼前的黄巾大军吧。													
37	0	57	2	高顺：早就听说有人从神都大牢里劫走汉帝，一路闯关，居然就是你们这几个黄口孺子？	-5	2	刘备：亲，什么是黄口孺子啊？	-1	1	玩家：尼玛，黄口孺子都不知道，其实..我也不知道，不过高顺这名字好熟悉的感觉，怎么想不起来了呢？	-5	2	刘备：你一个人在JJWW干嘛呢？	-1	1	玩家：我在说你长得漂亮呢。							
38	0	57	2	高顺：而今天下已大半归我黄巾，就凭你们几个手上这点兵马，莫说是绑个皇帝，就是绑个天王老子来，也无济于事了。	-1	1	玩家：不知道董卓那边怎么样了，现在黄巾军风头正劲，一副得了天下的口气！	90002	1	A将：主公放心，前将军董卓久居西凉，骁勇善战，定能所向披靡	-5	2	刘备：为什么你们说话都四个字，四个字的，感觉好厉害的样子...										
39	1	57	2	高顺：今日兵败，要杀要剐，悉听尊便！	-1	1	玩家：唉，在我们那个时代，杀人是犯法的，算了，我放你一马。	57	2	高顺：这位小将军，为何不杀我这败军之将。	-5	2	刘备：嘻嘻……我们来只是求财，不是为了害命，你赶紧告诉我们接下来该怎么走可以少打几仗就好了。	57	2	高顺：此去，东南方向十里，有条山道，可出重围。							
40	0	90012	2	黄巾精英士兵：来者何人？速速停下，不然万箭齐发！	-5	2	刘备：那个没良心的，不是说这路上没有黄巾么？早知道老娘就一刀阉了他！	-1	1	玩家：喂...我们是奉命押送皇帝老儿的，是自己人，你打开关隘，让我们过去吧。	90012	2	黄巾精英士兵：我奉命把守此关，没有天公将军手谕，任何人不得从此通过！	-1	1	玩家：这附近有没有刻章办证的啊...又要开战么！！！							
41	0	-5	2	刘备：打打打，一路上不是我砍人，就是人砍我，这日子何时能是个头啊	-1	1	玩家：知足吧，幸好有董卓在后面顶着，不然我们腹背受敌，早就被人剁成肉泥了。	-5	2	刘备：别人穿越都是后宫里跟阿哥们在一起赏花赏月，老娘我穿越，天天都是杀人放火。	-1	1	玩家：你以为我想啊，你看，又有黄巾军，准备好家伙吧！										
42	0	88	2	张角：老夫料定你们今日会从此地经过，恭候诸位多时了。	-5	2	刘备：你是谁啊？	88	2	张角：我就是英俊潇洒、风流倜傥外加法力无边，人见人爱的天公大将军张角也。	-5	2	刘备：又一个没有按时吃药的主儿...	-1	1	玩家：废话那么多，直接拼了							
43	1	88	2	张角：今日侥幸让你们从老夫手下逃走，他日定要取你等性命！	-1	1	玩家：总算逃出黄巾的魔爪了，张角欧巴，我们后会有期啊！	-5	2	刘备：亲，这下可以安排皇帝给我们赏金封地了吧。	-1	1	玩家：急什么，先得把皇帝安排到一个安全的地方，从新建立朝廷才行啊。										
44	0	-5	2	刘备：亲，我听说那个传国玉玺可值钱啦，要不咱们搞到手挂淘宝卖了吧！	-1	1	玩家：别做梦了行不，这是三国，哪儿来的淘宝，再说了，你没听那皇帝说的是重兵保护么？	-5	2	刘备：唉，打了这么久也没见到一分钱，再这么下去，谁还玩儿穿越啊。我就是站台也有800一天嘛。	-1	1	玩家：别闹，前面好像又有黄巾军了！										
45	0	-5	2	刘备：亲，我们这一路是往哪儿走啊？	-1	1	玩家：许昌啊，皇帝不是说玉玺在那儿么。	-5	2	刘备：我感觉我自从跟了你，就一直不停的在跑路。这哪里是赏金封候啊，这分明是落草为寇啊...	-1	1	玩家：唉，世界那么大，我想去看看...										
46	0	-5	2	刘备：亲，你说这一路有啥土特产不？要不咱们买点儿带着路上吃啊	-1	1	玩家：土特产就是黄巾军。	-5	2	刘备：为啥？	-1	1	玩家：还问为啥，你没看见对面黄灿灿的一片儿么？	-5	2	刘备：姑奶奶的，抄家伙！这次不留活口！							
47	1	90002	1	A将：主公，这玉玺里究竟有什么秘密？为天子和黄巾都要争夺它呢？	-1	1	玩家：我也不知道，但我总觉得现在所发生的一切，都和这个玉玺有着某种神秘的联系，也许找到了玉玺就能解释为什么我会穿越到这里的原因了。	-5	2	刘备：是啊，我也好怀念每天早上起来刷朋友圈的日子...	90002	1	A将：什么是朋友圈？	-5	2	刘备：额....							
48	0	-5	2	刘备：亲，找到了玉玺，皇帝应该就能给咱发奖金吧？	-1	1	玩家：别说奖金，我这一路不停的打打杀杀的，连个加班工资都没见到呢。	-5	2	刘备：所以跟对人很重要啊，皇帝这么穷，我们不如转投黄巾吧？嘻嘻……	-1	1	玩家：你一路上杀了那么多黄巾军，你说跳槽就跳槽啊？小心被抓去当慰安妇！										
49	0	-5	2	刘备：等到了许昌，能让我先拿玉玺拍个照，发个微博不？	-1	1	玩家：你醒醒吧，你那破手机还有电？这是三国，哪儿来的网络？	-5	2	刘备：唉，真是遗憾，这么刺激的事情回去说了也没人信，无图无真相啊。	-1	1	玩家：就是有图，人家也不信!我们还是赶紧找到玉玺，了解下这里面到底有啥秘密吧。										
50	0	90013	2	张燕：苍天已死，黄天当立，而今汉家气数已尽，尔等何必再做挣扎，不如审时度势，皈依我太平道门，追随天公将军，建功立业？	-1	1	玩家：怎么黄巾军都自我感觉这么良好？历史书上不是写的他们没多久就歇菜了么？	-5	2	刘备：废话少说，赶紧打开关口，让老娘去许昌！	90013	2	张燕：既然如此，就休怪我无礼了！										
51	1	-5	2	刘备：累死了，这帮黄巾真能打，真是要了我的小命啊	-1	1	玩家：感觉张角把他的精锐都派出来追堵我们了。看来这个传国玉玺对他而言，一定有非常重要的作用。	-5	2	刘备：难道里面藏有葵花宝典？	-1	1	玩家：我晕，葵花宝典是明朝，我们在三国好不好！										
52	0	-5	2	刘备：这条路就是传说中的官道，到许昌只有一百余里，相当近	-9	2	诸葛亮：主公，此路黄巾定有重兵把守，我知道一条山路，黄巾军在那里防守较为松懈。	-1	1	玩家：那就走敌人少的路吧。	-5	2	刘备：哟...果然是新人胜旧人啊										
53	0	-5	2	刘备：前面又有黄巾军，我带一支兵从侧后偷袭如何？	-9	2	诸葛亮：玄德姐姐，这山路如此狭窄，请问哪里来的侧后？	-5	2	刘备：怎么你是纯心跟我过不去么？	-1	1	玩家：哎呀，二位姑娘息怒，我们应该合力杀敌才是嘛。										
54	0	48	2	夏侯霸：哪里来残兵败将，居然还带着漂亮妞儿一起打仗？	-5	2	刘备：哎？是在说我们？喂...你们这些臭小子，看到姑奶奶嘴巴放干净点儿啊！	48	2	夏侯霸：不好意思啊大姐，我说的不是你，是你旁边拿扇子那位姑娘...你要是也有兴趣，就给爷做个二房吧，哈哈	-5	2	刘备：气死我了，看我不杀了你们！										
55	0	-9	2	诸葛亮：主公.最近出现的黄巾奖励貌似历史上都不应该是黄巾军，现在越来越不对了，我们还是小心点。	-5	2	刘备：哟哟哟，这话说的，好温馨哦。亲，不要听诸葛亮说的，没啥好怕的，我们三下五除二，搞定这帮黄巾山贼就是。	-1	1	玩家：玄德，你就木有发现现在出现的黄巾武将有点问题？	-5	2	刘备：哎呀，什么问题，莫非都比前面的长大帅了些，看得人家有点小激动呢，这算莫？										
56	1	-9	2	诸葛亮：主公，前面山路崎岖，兵士对地形不熟，恐有失策，请主公到我帐中一议。	-5	2	刘备：喂喂喂，大白天的就跟人混帐去了么？幸好这还是在山里，要是在城里，你们是不是要去开房啊！	-1	1	玩家：玄德，你听我说，我和诸葛亮是清白的....	-9	2	诸葛亮：前方战事连连，还望姐姐以大局为重啊。										
57	0	-1	1	玩家：先说好啊，打仗归打仗，私事归私事。你们二位不要把情绪带到工作中来嘛。刘姐姐，你尤其要注意哦	-5	2	刘备：当初叫人家来打黄巾的时候，叫我小甜甜，现在有了诸葛亮，新人胜旧人，居然叫我刘姐姐!	-1	1	玩家：大家现在都是一条船上的，不要这么小气嘛。灭了黄巾，有的是真金白银。到时候，你看上谁，还不是小意思啦。	-9	2	诸葛亮：主公所言极是，我们还是先灭了黄巾乱党，再考虑儿女私情吧。										
58	0	-5	2	刘备：这厮，成天就和新来的诸葛亮厮混在一起，让老娘一个人领兵打头阵，太无情无义了。	90002	1	A将：主公只是犯了一个正常男人都会犯的错嘛	-5	2	刘备：咦？你也会说这么有哲理的话？我好像在哪里听过呢？	90002	1	A将：前方尘土飞扬，似有敌军！	-5	2	刘备：骑兵随我来！							
59	0	-1	1	玩家：果然卧龙先生不是浪得虚名的，这一路多亏有你才能顺利至此	-9	2	诸葛亮：主公，抬爱了。临近许昌，黄巾定会有重兵设防，主公不可大意哦。	-5	2	刘备：为毛他们两个讨论事情的时候，总感觉哪里没对？	90002	1	A将：唉...日久生情啊										
60	0	-5	2	刘备：我刚才打听过了。翻过这个隘口就是许昌了耶。	-9	2	诸葛亮：姐姐不可大意，张角老谋深算，关隘之处必然伏有重兵，不如我们从隘口侧边的小路过去	-5	2	刘备：我不管，老娘今天就要从条路上过，不然真累成狗了。	61	2	许褚：来者可是刘备？我奉天公将军之命，在此恭候多时了！	-1	1	玩家：叫你别那么任性啊！我去，许褚都反叛做黄巾军，这下麻烦了							
61	1	-1	1	玩家：那个卖草鞋的刘玄德，你知不知道我们差点就被你埋这里了。	-5	2	刘备：哎呀，有诸葛亮妹妹在，哪儿有打不胜的仗呢？你说是吧。	-9	2	诸葛亮：这个...眼看就要到许昌了，我们还是想想拿找到玉玺后下一步该怎么办吧。	-1	1	玩家：是啊，是啊，这个玄德看来还没认识到问题的严重性，后面路不好走啊。										
62	0	93	2	曹操：各位，大事不好了！！黄巾军不知道哪里搞来许多妖魔鬼怪，这会杀过来了。	-1	1	玩家：拜托，你不要讲这些有的没的，扰乱军心好么？	93	2	曹操：兄弟，那些黄巾将领貌似刀枪不入，我们死伤无数兄弟都不能阻挡，再不撤就来不及了。													
63	0	-1	1	玩家：这些黄巾军是怎么回事？比之前的难打多了？而且一个个都长的这么奇怪？	-9	2	诸葛亮：怪事，怪事，士兵都是血肉之躯，怎会刀劈不坏，斧砍不动？	-5	2	刘备：我了肾，这些人长这么丑，吓死老娘了...哎呀，又来一群！													
64	0	93	2	曹操：这些家伙太经打了，我们弟兄们伤亡很大，大家要早做打算啊！	-9	2	诸葛亮：对面的兵士听着，你们是谁的手下？两军交战，为何不报姓名？算什么英雄好汉？	90014	2	黄巾：呜.......	-9	2	诸葛亮：这些家伙怎么人话都不会说？										
65	1	-1	1	玩家：诸葛亮，你现在摸清这些家伙的底细了么？	-9	2	诸葛亮：这些兵士两眼赤红，四肢僵硬，蛮力惊人，且不惧伤痛，绝非正常人所能及。应该是中了张角的邪术后才变成这样的。	-5	2	刘备：你的意思是，我们现在打的都是僵尸么？	-9	2	诸葛亮：极有可能。										
66	0	-5	2	刘备：我不干了，老娘不干了，我宁可回去cj漏胸站台，或者是去跳钢管舞，也好过在这里跟一群僵尸打打杀杀！	-1	1	玩家：亲，大战来临，你怎么能临阵脱逃呢？	-5	2	刘备：什么临阵脱逃，难不成，你还要军法处置我？别忘了我们几个可都是21世纪的文明人。	-1	1	玩家：不是这个意思啦，只是你现在往哪儿跑呢？四周都是怪物？难道你想一个人在到处都是僵尸的森林里散步？										
67	0	93	2	曹操：列位，我已经派轻骑打探过了，对方中军大帐中为将者，身材高大，持方天画戟，有可能是温候吕布。	-1	1	玩家：什么？吕布？不可能啊，他怎么会和黄巾搅在一起？	93	2	曹操：这个....请问，什么是搅在一起？	-1	1	玩家：额....我也是醉了										
68	0	-1	1	玩家：孟德兄，我们现在伤亡越来越大，你可有良策退敌？	93	2	曹操：先莫说退敌良策了，如果敌军主帅真的是吕布，你我怕是有一张恶仗要打	-1	1	玩家：吕布...三国战斗力排名第一的猛将，妈呀，我会不会被他一刀劈了？	93	2	曹操：请问这个战斗力排名是个什么东西？										
69	0	-9	2	诸葛亮：主公，阵前持方天画戟的确认是吕布无疑。	93	2	曹操：温候吕布，本来就天下无敌，此时不知是吃了什么药，更是力大惊人，我手下几员战将都被他连人带马劈成两段！	-1	1	玩家：那些坑爹的穿越剧导演，这都谁说的穿越各种潇洒的？我这趟怕是连小命都保不住了啊...	-9	2	诸葛亮：主公，此时我们唯有派兵佯攻拖住吕布，再伺机撤军，不然就有全军覆没的危险。										
70	1	-1	1	玩家：孟德兄，现在我们只是暂时拖住了吕布，但是一旦黄巾军追上来，我们可能真的无力再战了	93	2	曹操：唉，我手下精锐也几乎损失殆尽了	-9	2	诸葛亮：主公，我听一位西川来的道士提起过，说张角有一种邪术，不仅可以摄人魂魄，还可让人魔性大发，力大无穷。现在这个吕布，应该就是中了此术。邪术一旦消除，人也就平复如初。只是我一时找不到破解之法。	90002	1	A将：报，帐外有一妇人，披甲骑象，自称南中大王孟获的夫人，前来求见。										
71	0	-1	1	玩家：祝，祝，祝，夫人，张角用邪术把军队变成了僵尸，你，你，你可有良策？	-5	2	刘备：喂，你看到妹子说话都结巴了么？	-10	2	祝融：大家不必多虑，只管上阵，我在阵后施法破它便是。													
72	0	-1	1	玩家：果然有美貌与智慧并存的祝夫人帮忙，黄巾军好对付多了	-10	2	祝融：将军过奖了。	-5	2	刘备：看吧，我就说他不靠谱，之前是诸葛亮，现在又是祝融...唉，男人都是这么薄情啊	90002	1	A将：我们这里，男人有三妻四妾很平常嘛。										
73	0	90014	2	黄巾：之前是怎么回事？整个人都像在做梦一样，只记得脑海里有个声音让我们不停的杀人	-1	1	玩家：兄弟，你们中了张角的邪术，被他坑了，赶紧投诚到我这儿来吧，不要替那妖人卖命了。	90014	2	黄巾：大胆狂徒，竟敢出言不逊，辱我家天公将军威名，纳命来！													
74	1	-1	1	玩家：我去，怎么一提张角的名字，这帮人瞬间就开启狂暴模式呢？	-5	2	刘备：洗脑呗....咱么不也有什么xxx思想课程么？	-10	2	祝融：大家也不要太大意，这些黄巾军本身的战斗力就很强，即便没有邪术也不可轻敌。我家大王就吃过他们的亏。													
75	0	-10	2	祝融：前面又有中邪的来了，看我施法破它！	90014	2	黄巾：唉，为什么我们会在这里？我们是怎么来的，怎么完全想不起来了呢？	-5	2	刘备：哈哈，那是因为你看到老娘后神魂颠倒，意乱情迷，来吃我一刀！													
76	0	-1	1	玩家：这南蛮的祝融夫人果然厉害啊，而且才貌双全，和我在三国演义里读到不一样啊，  嘻嘻……	-5	2	刘备：哟，原来是喜欢女王范儿啊	-9	2	诸葛亮：你小心被孟获发现了，割了你的小丁丁	-1	1	玩家：我只是说有她在，打黄巾比较方便嘛，不废话了，准备开战！										
77	0	86	2	吕布：我乃天公将军帐下第一先锋——吕奉先也，今天就算你是玉帝下凡，也要先问过我手中的方天画戟！	-1	1	玩家：好霸气！	-5	2	刘备：好man！	-9	2	诸葛亮：颜值爆表啊亲！	-10	2	祝融：诸位小心，这吕布身上的邪术还没有解除完全，他现在是半人半魔，依旧不可轻敌啊！							
